,,,Trigger SFT_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660360170.541810,03:09:30.541810,5710,0.44200000
1660360182.801807,03:09:42.801807,5712,0.96500000
1660360194.835808,03:09:54.835808,5714,0.99000000
1660360206.442810,03:10:06.442810,5716,0.70700000
1660360218.559807,03:10:18.559807,5718,0.95700000
1660360230.135810,03:10:30.135810,5720,0.62000000
1660360242.591810,03:10:42.591810,5722,0.97300000
1660360254.385807,03:10:54.385807,5724,0.99700000
1660360265.969810,03:11:05.969810,5726,0.79800000
1660360278.012811,03:11:18.012811,5728,0.93500000
1660360289.988809,03:11:29.988809,5730,0.99700000
1660360301.453811,03:11:41.453811,5732,0.58400000
1660360312.665808,03:11:52.665808,5734,0.19300000
1660360324.768810,03:12:04.768810,5736,0.20900000
1660360336.928811,03:12:16.928811,5738,0.42100000
1660360348.990807,03:12:28.990807,5740,0.68500000
1660360360.722810,03:12:40.722810,5742,0.39700000
1660360372.677807,03:12:52.677807,5744,0.82100000
1660360384.538808,03:13:04.538808,5746,0.74800000
1660360396.356810,03:13:16.356810,5748,0.65600000
1660360408.516807,03:13:28.516807,5750,0.96300000
1660360420.363809,03:13:40.363809,5752,0.80700000
1660360431.884806,03:13:51.884806,5754,0.36300000
1660360443.058810,03:14:03.058810,5756,0.04000000
1660360454.998806,03:14:14.998806,5758,0.49000000
1660360467.221807,03:14:27.221807,5760,0.83700000
1660360478.827810,03:14:38.827810,5762,0.94900000
1660360490.311807,03:14:50.311807,5764,0.73300000
1660360501.851811,03:15:01.851811,5766,0.63300000
1660360513.467807,03:15:13.467807,5768,0.70400000
1660360525.576810,03:15:25.576810,5770,0.84000000
1660360536.908806,03:15:36.908806,5772,0.60700000
1660360548.315811,03:15:48.315811,5774,0.42700000
1660360560.041807,03:16:00.041807,5776,0.59400000
1660360571.693811,03:16:11.693811,5778,0.83800000
1660360583.502807,03:16:23.502807,5780,0.83100000
1660360594.649811,03:16:34.649811,5782,0.40200000
1660360606.674807,03:16:46.674807,5784,0.96000000
1660360618.072811,03:16:58.072811,5786,0.62200000
1660360629.036809,03:17:09.036809,5788,0.19200000
1660360640.950812,03:17:20.950812,5790,0.58900000
1660360652.759808,03:17:32.759808,5792,0.83400000
1660360664.226812,03:17:44.226812,5794,0.84500000
1660360675.296810,03:17:55.296810,5796,0.50400000
1660360687.352812,03:18:07.352812,5798,0.93600000
1660360698.686809,03:18:18.686809,5800,0.80100000
1660360709.938808,03:18:29.938808,5802,0.56200000
1660360721.840809,03:18:41.840809,5804,0.90900000
1660360733.518807,03:18:53.518807,5806,0.84400000
1660360745.040809,03:19:05.040809,5808,0.71000000
1660360756.278807,03:19:16.278807,5810,0.45300000
1660360768.050810,03:19:28.050810,5812,0.70600000
1660360779.875807,03:19:39.875807,5814,0.87700000
1660360791.485809,03:19:51.485809,5816,0.99200000
1660360803.088807,03:20:03.088807,5818,0.83300000
1660360814.703809,03:20:14.703809,5820,0.82800000
1660360825.844808,03:20:25.844808,5822,0.49200000
1660360838.002808,03:20:38.002808,5824,0.84200000
1660360849.672807,03:20:49.672807,5826,0.89900000
1660360861.135809,03:21:01.135809,5828,0.69600000
1660360872.067808,03:21:12.067808,5830,0.29000000
1660360884.391809,03:21:24.391809,5832,0.77200000
1660360896.263811,03:21:36.263811,5834,0.99700000
1660360907.346809,03:21:47.346809,5836,0.55500000
1660360919.111807,03:21:59.111807,5838,0.99100000
1660360930.415809,03:22:10.415809,5840,0.61100000
1660360942.314806,03:22:22.314806,5842,0.94200000
1660360953.834809,03:22:33.834809,5844,0.94300000
1660360964.939805,03:22:44.939805,5846,0.45700000
1660360976.508811,03:22:56.508811,5848,0.27300000
1660360988.090808,03:23:08.090808,5850,0.55900000
1660361000.300809,03:23:20.300809,5852,0.86000000
1660361011.521807,03:23:31.521807,5854,0.53900000
1660361022.911811,03:23:42.911811,5856,0.23900000
1660361035.026808,03:23:55.026808,5858,0.62900000
1660361046.001810,03:24:06.001810,5860,0.16500000
1660361057.781808,03:24:17.781808,5862,0.25800000
1660361069.701810,03:24:29.701810,5864,0.72400000
1660361080.993809,03:24:40.993809,5866,0.49800000
1660361092.354807,03:24:52.354807,5868,0.10800000
1660361104.645807,03:25:04.645807,5870,0.57900000
1660361116.851808,03:25:16.851808,5872,0.70100000
1660361129.005809,03:25:29.005809,5874,0.61100000
1660361141.080811,03:25:41.080811,5876,0.52800000
1660361153.245807,03:25:53.245807,5878,0.67200000
1660361165.644808,03:26:05.644808,5880,0.94900000
1660361177.361811,03:26:17.361811,5882,0.76500000
1660361190.189810,03:26:30.189810,5884,0.84200000
1660361202.226812,03:26:42.226812,5886,0.37500000
1660361214.812806,03:26:54.812806,5888,0.24500000
1660361227.907811,03:27:07.907811,5890,0.76200000
1660361240.483811,03:27:20.483811,5892,0.69100000
1660361253.270810,03:27:33.270810,5894,0.83300000
1660361265.581806,03:27:45.581806,5896,0.57800000
1660361277.989808,03:27:57.989808,5898,0.56200000
1660361290.633808,03:28:10.633808,5900,0.87600000
1660361303.427808,03:28:23.427808,5902,0.92900000
1660361315.472809,03:28:35.472809,5904,0.45600000
1660361328.752807,03:28:48.752807,5906,0.91400000
1660361341.424807,03:29:01.424807,5908,0.94600000
1660361353.689808,03:29:13.689808,5910,0.55100000
1660361366.149808,03:29:26.149808,5912,0.24700000
1660361378.455810,03:29:38.455810,5914,0.04400000
1660361391.285809,03:29:51.285809,5916,0.20400000
1660361404.295809,03:30:04.295809,5918,0.48000000
1660361417.044808,03:30:17.044808,5920,0.91000000
1660361429.189810,03:30:29.189810,5922,0.79000000
1660361441.144806,03:30:41.144806,5924,0.99400000
1660361453.075808,03:30:53.075808,5926,0.65100000
1660361465.344809,03:31:05.344809,5928,0.59400000
1660361477.629810,03:31:17.629810,5930,0.59800000
1660361489.883807,03:31:29.883807,5932,0.61700000
1660361502.557807,03:31:42.557807,5934,0.96100000
1660361514.231809,03:31:54.231809,5936,0.62400000
1660361526.491811,03:32:06.491811,5938,0.77800000
1660361537.856808,03:32:17.856808,5940,0.59100000
1660361549.626810,03:32:29.626810,5942,0.58100000
1660361561.346807,03:32:41.346807,5944,0.78600000
1660361572.465806,03:32:52.465806,5946,0.31100000
1660361584.883814,03:33:04.883814,5948,0.82300000
1660361596.320810,03:33:16.320810,5950,0.54100000
1660361608.154807,03:33:28.154807,5952,0.71600000
1660361620.083809,03:33:40.083809,5954,0.97500000
1660361631.493807,03:33:51.493807,5956,0.51400000
1660361643.121810,03:34:03.121810,5958,0.33400000
1660361654.343807,03:34:14.343807,5960,0.08300000
1660361666.472809,03:34:26.472809,5962,0.49400000
1660361678.862811,03:34:38.862811,5964,0.89100000
1660361690.490807,03:34:50.490807,5966,0.91400000
1660361702.021810,03:35:02.021810,5968,0.89000000
1660361713.540808,03:35:13.540808,5970,0.58900000
1660361724.812807,03:35:24.812807,5972,0.38800000
1660361736.828809,03:35:36.828809,5974,0.60300000
1660361748.406812,03:35:48.406812,5976,0.82300000
1660361759.662816,03:35:59.662816,5978,0.34400000
1660361771.755812,03:36:11.755812,5980,0.67300000
1660361783.439809,03:36:23.439809,5982,0.80100000
1660361795.127811,03:36:35.127811,5984,0.80300000
1660361806.434809,03:36:46.434809,5986,0.71400000
1660361818.058807,03:36:58.058807,5988,0.58600000
1660361829.407810,03:37:09.407810,5990,0.36100000
1660361841.704811,03:37:21.704811,5992,0.97800000
1660361853.221809,03:37:33.221809,5994,0.84800000
1660361864.240807,03:37:44.240807,5996,0.53600000
1660361876.647809,03:37:56.647809,5998,0.95800000
1660361887.506808,03:38:07.506808,6000,0.50500000
1660361899.375810,03:38:19.375810,6002,0.81800000
1660361911.144807,03:38:31.144807,6004,0.95800000
1660361922.527811,03:38:42.527811,6006,0.71200000
1660361934.280807,03:38:54.280807,6008,0.99400000
1660361945.634813,03:39:05.634813,6010,0.90800000
1660361957.116809,03:39:17.116809,6012,0.81600000
1660361968.990811,03:39:28.990811,6014,0.90600000
1660361980.338809,03:39:40.338809,6016,0.72200000
1660361991.538807,03:39:51.538807,6018,0.35000000
1660362003.999806,03:40:03.999806,6020,1.00000000
1660362014.998806,03:40:14.998806,6022,0.56900000
1660362026.429810,03:40:26.429810,6024,0.63500000
1660362038.395807,03:40:38.395807,6026,0.94900000
1660362049.644811,03:40:49.644811,6028,0.61300000
1660362061.594807,03:41:01.594807,6030,0.82600000
1660362072.544807,03:41:12.544807,6032,0.34800000
1660362084.488808,03:41:24.488808,6034,0.81000000
1660362096.247811,03:41:36.247811,6036,0.93300000
1660362107.684809,03:41:47.684809,6038,0.77300000
1660362118.924808,03:41:58.924808,6040,0.51800000
1660362130.747809,03:42:10.747809,6042,0.63800000
1660362142.502807,03:42:22.502807,6044,0.96000000
1660362153.695810,03:42:33.695810,6046,0.52100000
1660362165.597807,03:42:45.597807,6048,0.94900000
