,,,Trigger SOV_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660302366.949801,11:06:06.949801,8061,0.99400000
1660302378.700801,11:06:18.700801,8059,0.52200000
1660302391.656801,11:06:31.656801,8057,0.97300000
1660302403.582801,11:06:43.582801,8055,0.99900000
1660302415.509801,11:06:55.509801,8053,0.53200000
1660302427.993801,11:07:07.993801,8051,0.78800000
1660302439.957801,11:07:19.957801,8049,0.57200000
1660302452.524801,11:07:32.524801,8047,0.89400000
1660302465.024801,11:07:45.024801,8045,0.93400000
1660302476.827801,11:07:56.827801,8043,0.49600000
1660302489.577801,11:08:09.577801,8041,0.98200000
1660302501.690801,11:08:21.690801,8039,0.97500000
1660302513.619801,11:08:33.619801,8037,0.63200000
1660302525.733801,11:08:45.733801,8035,0.49800000
1660302538.226801,11:08:58.226801,8033,0.80200000
1660302550.754801,11:09:10.754801,8031,0.96500000
1660302562.867801,11:09:22.867801,8029,0.93900000
1660302574.797801,11:09:34.797801,8027,0.56300000
1660302586.914801,11:09:46.914801,8025,0.40300000
1660302599.551801,11:09:59.551801,8023,0.81800000
1660302612.037801,11:10:12.037801,8021,0.96000000
1660302624.333801,11:10:24.333801,8019,0.66400000
1660302636.814801,11:10:36.814801,8017,0.87400000
1660302649.063801,11:10:49.063801,8015,0.76100000
1660302660.400801,11:11:00.400801,8013,0.28600000
1660302672.988801,11:11:12.988801,8011,0.94000000
1660302684.966801,11:11:24.966801,8009,0.78600000
1660302696.990801,11:11:36.990801,8007,0.93600000
1660302708.661801,11:11:48.661801,8005,0.54900000
1660302720.705801,11:12:00.705801,8003,0.50500000
1660302732.856801,11:12:12.856801,8001,0.41200000
1660302744.328801,11:12:24.328801,7999,0.12400000
1660302756.302801,11:12:36.302801,7997,0.27300000
1660302768.027801,11:12:48.027801,7995,0.34200000
1660302780.059801,11:13:00.059801,7993,0.63600000
1660302792.281801,11:13:12.281801,7991,0.93700000
1660302803.744801,11:13:23.744801,7989,0.71900000
1660302815.855801,11:13:35.855801,7987,0.94900000
1660302827.544801,11:13:47.544801,7985,0.97000000
1660302838.792801,11:13:58.792801,7983,0.54000000
1660302851.055801,11:14:11.055801,7981,0.86000000
1660302862.189801,11:14:22.189801,7979,0.48200000
1660302874.447801,11:14:34.447801,7977,0.96700000
1660302885.735801,11:14:45.735801,7975,0.68200000
1660302897.139801,11:14:57.139801,7973,0.28800000
1660302908.905801,11:15:08.905801,7971,0.56800000
1660302920.530801,11:15:20.530801,7969,0.46700000
1660302932.776801,11:15:32.776801,7967,0.80400000
1660302944.611801,11:15:44.611801,7965,0.89400000
1660302956.617801,11:15:56.617801,7963,0.81700000
1660302967.963801,11:16:07.963801,7961,0.53300000
1660302979.878801,11:16:19.878801,7959,0.66800000
1660302991.396801,11:16:31.396801,7957,0.23200000
1660303003.915801,11:16:43.915801,7955,0.75400000
1660303016.000801,11:16:56.000801,7953,0.99200000
1660303027.958801,11:17:07.958801,7951,0.88700000
1660303040.140801,11:17:20.140801,7949,0.81600000
1660303051.714801,11:17:31.714801,7947,0.46100000
1660303064.335801,11:17:44.335801,7945,0.88300000
1660303076.338801,11:17:56.338801,7943,0.47300000
1660303088.473801,11:18:08.473801,7941,0.81100000
1660303100.582801,11:18:20.582801,7939,0.87500000
1660303112.464801,11:18:32.464801,7937,0.97500000
1660303124.208801,11:18:44.208801,7935,0.85600000
1660303136.090801,11:18:56.090801,7933,0.59500000
1660303148.301801,11:19:08.301801,7931,0.84700000
1660303160.150801,11:19:20.150801,7929,0.83400000
1660303172.172801,11:19:32.172801,7927,0.80400000
1660303184.301801,11:19:44.301801,7925,0.86900000
1660303195.911801,11:19:55.911801,7923,0.40800000
1660303208.153801,11:20:08.153801,7921,0.70500000
1660303220.034801,11:20:20.034801,7919,0.73200000
1660303231.591801,11:20:31.591801,7917,0.33400000
1660303243.985801,11:20:43.985801,7915,0.91800000
1660303255.995801,11:20:55.995801,7913,0.73300000
1660303267.879801,11:21:07.879801,7911,0.84100000
1660303279.599801,11:21:19.599801,7909,0.38700000
1660303291.843801,11:21:31.843801,7907,0.69900000
1660303304.326801,11:21:44.326801,7905,1.00000000
1660303315.804801,11:21:55.804801,7903,0.71000000
1660303328.102801,11:22:08.102801,7901,0.81900000
1660303339.761801,11:22:19.761801,7899,0.43100000
1660303352.192801,11:22:32.192801,7897,1.00000000
1660303363.712801,11:22:43.712801,7895,0.51900000
1660303375.642801,11:22:55.642801,7893,0.53100000
1660303387.796801,11:23:07.796801,7891,0.80000000
1660303399.647801,11:23:19.647801,7889,0.48400000
1660303411.688801,11:23:31.688801,7887,0.51500000
1660303423.912801,11:23:43.912801,7885,0.81500000
1660303435.645801,11:23:55.645801,7883,0.57100000
1660303447.353801,11:24:07.353801,7881,0.30300000
1660303459.273801,11:24:19.273801,7879,0.28100000
1660303471.158801,11:24:31.158801,7877,0.09000000
1660303483.166801,11:24:43.166801,7875,0.20800000
1660303495.244801,11:24:55.244801,7873,0.20000000
1660303507.577801,11:25:07.577801,7871,0.59700000
1660303519.172801,11:25:19.172801,7869,0.18900000
1660303531.603801,11:25:31.603801,7867,0.68900000
